RepSeqName	U-ID	TrEMBL	T-KO	KEGG	K-KO	U-ID	SwissProt	S-KO
S_ruber_randomG_0001_71_5	D5HBA8_SALRM	Methionyl-tRNA formyltransferase	K00604	* methionyl-tRNA formyltransferase [EC:2.1.2.9]	K00604	FMT_CHLPM	Methionyl-tRNA formyltransferase	K00604
S_ruber_randomG_0001_71_6	D5HBA9_SALRM	Signal recognition particle receptor FtsY	K03110	* fused signal recognition particle receptor	K03110	FTSY_BACSU	Signal recognition particle receptor FtsY	K03110
S_ruber_randomG_0001_71_7	D5HBB0_SALRM	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	K00995	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	K08744	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_71_8	D5HBB1_SALRM	Uncharacterized protein	No_Match	type VI secretion system protein VasD	K11906	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_71_10	D5HBB3_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_71_12	D5HBB6_SALRM	Uncharacterized protein	No_Match	defect in organelle trafficking protein DotD	K12205	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_3	D5HC44_SALRM	Low molecular weight phosphotyrosine protein phosphatase	K03741	* arsenate reductase (thioredoxin) [EC:1.20.4.4]	K03741	ARSC_GEOTN	Arsenate reductase	K03741
S_ruber_randomG_0001_72_7	Q2RZS0_SALRD	Bacterial regulatory proteins, ArsR family	No_Match	* ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	K03892	Y1325_METJA	Uncharacterized HTH-type transcriptional regulator MJ1325;	No_Match
S_ruber_randomG_0001_72_8	Q2RZR9_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_9	Q2RZR8_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_11	Q2RZR6_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_14	Q2RZR2_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_16	Q2RZR0_SALRD	ABC transporter, ATP-binding protein, putative	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	K05847	OPUCA_BACSU	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA;	K05847
S_ruber_randomG_0001_72_17	D5HC58_SALRM	Transmembrane protein	K05845|K05846	* osmoprotectant transport system substrate-binding protein	K05845	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_19	Q2RZQ7_SALRD	Uncharacterized protein	No_Match	solute carrier organic anion transporter family, member 5A	K14356	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_20	Q2RZQ6_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_21	Q2RZQ5_SALRD	Uncharacterized protein	No_Match	MFS transporter, DHA1 family, multidrug resistance protein	K08157	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_22	Q2RZQ4_SALRD	ABC transporter, ATP-binding protein	K01990	ABC-2 type transport system ATP-binding protein	K01990	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_23	Q2RZQ3_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_24	Q2RZQ2_SALRD	Transcriptional regulator, AbrB family	No_Match	* uncharacterized protein	K07052	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_72_25	Q2RZQ1_SALRD	Uncharacterized protein	No_Match	putative membrane protein	K08990	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_73_2	D5H9Q0_SALRM	Zinc protease	K07263	* zinc protease [EC:3.4.24.-]	K07263	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_73_3	D5H9P9_SALRM	Putative zinc protease	No_Match	zinc protease [EC:3.4.24.-]	K07263	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_73_6	D5H9P6_SALRM	Signal recognition particle protein	K03106	* signal recognition particle subunit SRP54 [EC:3.6.5.4]	K03106	SRP54_BACSU	Signal recognition particle protein	K03106
S_ruber_randomG_0001_73_8	D5H9P4_SALRM	Ribosome maturation factor RimM	K02860	* 16S rRNA processing protein RimM	K02860	RIMM_SALRD	Ribosome maturation factor RimM	K02860
S_ruber_randomG_0001_73_9	D5H9P3_SALRM	tRNA (guanine-N(1)-)-methyltransferase	K00554	* tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	K00554	TRMD_SALRD	tRNA (guanine-N(1)-)-methyltransferase	K00554
S_ruber_randomG_0001_73_10	D5H9P2_SALRM	50S ribosomal protein L19	K02884	* large subunit ribosomal protein L19	K02884	RL19_SALRD	50S ribosomal protein L19	K02884
S_ruber_randomG_0001_73_12	D5H9P0_SALRM	SsrA-binding protein	K03664	* SsrA-binding protein	K03664	SSRP_SALRD	SsrA-binding protein	K03664
S_ruber_randomG_0001_73_13	D5H9N9_SALRM	Tyrosine--tRNA ligase	K01866	* tyrosyl-tRNA synthetase [EC:6.1.1.1]	K01866	SYY_SALRD	Tyrosine--tRNA ligase	K01866
S_ruber_randomG_0001_73_16	Q2S241_SALRD	N5-carboxyaminoimidazole ribonucleotide synthase	K01589	* 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	K01589	PURK_MYCTU	N5-carboxyaminoimidazole ribonucleotide synthase	K01589
S_ruber_randomG_0001_74_2	Q2RZA3_SALRD	Flagellin	No_Match	* flagellin	K02406	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_74_5	Q2RZA6_SALRD	Flagellar protein FliS	K02422	* flagellar protein FliS	K02422	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_74_11	Q2RZB2_SALRD	Flagella basal body rod protein	K02387	flagellar basal-body rod protein FlgB	K02387	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_74_12	D5HCK5_SALRM	Flagellar basal-body rod protein FlgC	K02388	* flagellar basal-body rod protein FlgC	K02388	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_74_13	Q2RZB4_SALRD	Uncharacterized protein	No_Match	multicomponent Na+:H+ antiporter subunit G	K05571	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_74_14	D5HCK3_SALRM	Flagellar hook-basal body complex protein FliE	K02408	* flagellar hook-basal body complex protein FliE	K02408	FLIE_PSEU5	Flagellar hook-basal body complex protein FliE	K02408
S_ruber_randomG_0001_74_15	Q2RZB6_SALRD	Flagellar M-ring protein	K02409	* flagellar M-ring protein FliF	K02409	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_74_16	D5HCK1_SALRM	Flagellar motor switch protein fliG	K02410	* flagellar motor switch protein FliG	K02410	FLIG_BACSU	Flagellar motor switch protein FliG;	K02410
S_ruber_randomG_0001_74_17	D5HCK0_SALRM	Uncharacterized protein	K02411	* flagellar assembly protein FliH	K02411	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_3	Q2RZU6_SALRD	tRNA nucleotidyltransferase/poly(A) polymerase family protein	K00970	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	K00974	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_4	Q2RZU7_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_6	Q2RZU9_SALRD	Metal-activated pyridoxal enzyme	No_Match	3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]	K18425	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_7	Q2RZV0_SALRD	SoxW, putative	No_Match	thiol:disulfide interchange protein DsbD [EC:1.8.1.8]	K04084	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_8	Q2RZV1_SALRD	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type domain protein	K01802	peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]	K03767	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_9	D5HC14_SALRM	ATP synthase epsilon chain	K02114	* F-type H+-transporting ATPase subunit epsilon	K02114	ATPE_SALRD	ATP synthase epsilon chain	K02114
S_ruber_randomG_0001_75_10	D5HC13_SALRM	ATP synthase subunit beta	K02112	* F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	K02112	ATPB_SALRD	ATP synthase subunit beta	K02112
S_ruber_randomG_0001_75_12	D5HC11_SALRM	Uncharacterized protein	No_Match	* histidine phosphotransfer protein HptB	K20976	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_13	D5HC10_SALRM	Thiamine-monophosphate kinase	K00946	* thiamine-monophosphate kinase [EC:2.7.4.16]	K00946	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_75_14	D5HC09_SALRM	Anhydro-N-acetylmuramic acid kinase	K09001	* anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]	K09001	ANMK_SALRD	Anhydro-N-acetylmuramic acid kinase	K09001
S_ruber_randomG_0001_76_1	Q2RZU3_SALRD	CBS domain pair protein	No_Match	CBS domain-containing protein	K07182	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_2	Q2RZU2_SALRD	Daunorubicin C-13 ketoreductase	No_Match	retinol dehydrogenase 12 [EC:1.1.1.300]	K11153	DHR13_BOVIN	Dehydrogenase/reductase SDR family member 13;	K11169
S_ruber_randomG_0001_76_4	Q2RZU1_SALRD	Uncharacterized protein	No_Match	uncharacterized protein	K07161	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_5	D5HC28_SALRM	Uncharacterized protein	No_Match	nitric oxide reductase NorQ protein	K04748	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_6	Q2RZT9_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_7	Q2RZT8_SALRD	FAD binding domain protein	K00239	* succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	K00239	TFRA_METTM	Fumarate reductase (CoM/CoB) subunit A	K18209
S_ruber_randomG_0001_76_8	Q2RZT7_SALRD	Putative phosphoesterase	No_Match	3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	K03651	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_9	D5HC35_SALRM	Probable thioredoxin related protein	No_Match	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	K02199	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_13	Q2RZT2_SALRD	Alkaline phosphatase, putative	K01077	* alkaline phosphatase [EC:3.1.3.1]	K01077	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_14	Q2RZT1_SALRD	Uncharacterized protein	K02069	* putative ABC transport system permease protein	K02069	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_76_17	D5HC42_SALRM	Putative fluoride ion transporter CrcB	K06199	* fluoride exporter	K06199	CRCB_SALRD	Putative fluoride ion transporter CrcB	K06199
S_ruber_randomG_0001_77_3	Q2RYR7_SALRD	Probable methyl-accepting chemotaxis protein	No_Match	twitching motility protein PilJ	K02660	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_77_4	Q2RYR8_SALRD	Uncharacterized protein	No_Match	outer membrane protein	K07275	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_77_5	Q2RYR9_SALRD	X-Pro dipeptidyl-peptidase	No_Match	prolyl oligopeptidase [EC:3.4.21.26]	K01322	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_77_6	Q2RYS0_SALRD	THUMP domain/methyltransferase domain protein	K16318	* tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]	K16318	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_77_10	Q2RYS3_SALRD	Uncharacterized protein	No_Match	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	K06949	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_78_4	D5H4F3_SALRM	Tyrosine recombinase xerD	K04763	integrase/recombinase XerD	K04763	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_78_9	D5HAJ7_SALRM	Uncharacterized protein	No_Match	beta-lactamase class A CARB-5 [EC:3.5.2.6]	K19218	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_78_10	D5HAJ8_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_78_15	A0A2T2ST38_9BACT	IS4/IS5 family transposase	No_Match	putative transposase	K07495	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_78_21	A0A1V0DE57_9BACT	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_78_22	A0A3N5NK67_9RHIZ	IS982 family transposase	No_Match	transposase, IS5 family	K07481	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_79_3	Q2RYW6_SALRD	Probable transcriptional regulator, TetR family	K16137	* TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon	K16137	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_79_5	D5HD00_SALRM	Uncharacterized protein	No_Match	neurotransmitter:Na+ symporter, NSS family	K03308	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_79_6	D5HCZ9_SALRM	Uncharacterized protein	No_Match	manganese transport protein	K03322	MNTH_MYCBO	Divalent metal cation transporter MntH;	No_Match
S_ruber_randomG_0001_79_9	Q2RYX1_SALRD	FAD dependent oxidoreductase, putative	K15736	* L-2-hydroxyglutarate oxidase [EC:1.1.5.-]	K15736	L2HDH_CAEBR	L-2-hydroxyglutarate dehydrogenase, mitochondrial;	No_Match
S_ruber_randomG_0001_79_10	Q2RYX2_SALRD	Uncharacterized protein	No_Match	beta-glucuronidase [EC:3.2.1.31]	K01195	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_79_11	Q2RYX3_SALRD	1,4-dihydroxy-2-naphthoyl-CoA synthase	K01661	* naphthoate synthase [EC:4.1.3.36]	K01661	MENB_MYCTU	1,4-dihydroxy-2-naphthoyl-CoA synthase	K01661
S_ruber_randomG_0001_79_13	D5HCZ2_SALRM	Uncharacterized protein	No_Match	ATP-dependent helicase IRC3 [EC:3.6.4.-]	K17677	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_79_15	D5HCZ0_SALRM	Uncharacterized protein	No_Match	gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	K00471	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_79_16	D5HCY9_SALRM	RNA polymerase sigma-E factor	K03088	* RNA polymerase sigma-70 factor, ECF subfamily	K03088	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_80_2	Q2S6D4_SALRD	Uncharacterized protein	No_Match	transitional endoplasmic reticulum ATPase	K13525	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_80_4	Q2S6D2_SALRD	TonB-dependent receptor domain protein	No_Match	outer membrane receptor for ferrienterochelin and colicins	K16089	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_80_5	Q2S6D1_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_80_6	Q2S6D0_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_80_7	No_Match	Hypothetical Gene	No_Match	membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]	K08306	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_80_9	Q2S6C8_SALRD	Uncharacterized protein	No_Match	TolB protein	K03641	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_80_10	Q2S6C7_SALRD	LemA protein	K03744	* LemA protein	K03744	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_81_3	Q2S5L4_SALRD	Na+/proline symporter	No_Match	solute:Na+ symporter, SSS family	K03307	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_81_4	D5H5R3_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_81_5	D5H5R2_SALRM	Ribose operon repressor	No_Match	* LacI family transcriptional regulator	K02529	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_81_6	D5H5R1_SALRM	Beta-N-acetylhexosaminidase	K12373	* hexosaminidase [EC:3.2.1.52]	K12373	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_81_7	D5H5R0_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_81_8	D5H5Q9_SALRM	TonB-dependent receptor	No_Match	TonB-dependent starch-binding outer membrane protein SusC	K21573	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_2	D5H5V1_SALRM	Signal peptidase I	K03100	* signal peptidase I [EC:3.4.21.89]	K03100	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_3	D5H5V2_SALRM	Uncharacterized protein	No_Match	L,D-transpeptidase YbiS	K19235	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_4	D5H5V3_SALRM	Potassium channel, putative	K10716	* trk system potassium uptake protein	K03499	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_6	D5H5V5_SALRM	Uncharacterized protein	No_Match	* putative oxidoreductase	K15977	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_7	D5H5V6_SALRM	Phospholipase, patatin family	K07001	* NTE family protein	K07001	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_10	D5H5V9_SALRM	Sensor protein lytS	No_Match	two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]	K08082	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_11	D5H5W0_SALRM	Two-component system, regulatory protein	K02477	* two-component system, LytTR family, response regulator	K02477	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_82_13	D5H5W2_SALRM	Phosphate-selective porin O and P	K07221	* phosphate-selective porin OprO and OprP	K07221	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_83_1	Q2RZP8_SALRD	Metal-dependent carboxypeptidase	K01299	* carboxypeptidase Taq [EC:3.4.17.19]	K01299	CBP1_THET8	Thermostable carboxypeptidase 1;	K01299
S_ruber_randomG_0001_83_2	Q2RZP7_SALRD	Uncharacterized protein	No_Match	protocadherin beta	K16494	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_83_4	D5HC70_SALRM	Response regulator DrrA	No_Match	* two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	K07658	PHOP_BACSU	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP;	K07658
S_ruber_randomG_0001_83_5	Q2RZP4_SALRD	Phospho-2-dehydro-3-deoxyheptonate aldolase	K01626	* 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	K01626	AROF_STRCO	Phospho-2-dehydro-3-deoxyheptonate aldolase;	K01626
S_ruber_randomG_0001_83_6	D5HC72_SALRM	Endoglucanase, putative	No_Match	putative aminopeptidase [EC:3.4.11.-]	K20609	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_83_7	D5HC73_SALRM	Response regulator DrrA	No_Match	two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	K07658	PHOP_BACSU	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP;	K07658
S_ruber_randomG_0001_83_8	Q2RZP1_SALRD	PhoP3 response regulator	No_Match	two-component system, OmpR family, response regulator	K02483	CUSR_ECOLI	Transcriptional regulatory protein CusR	K07665
S_ruber_randomG_0001_83_9	D5HC75_SALRM	RNA-splicing ligase RtcB	K14415	* tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]	K14415	RTCB_ARCFU	tRNA-splicing ligase RtcB;	K14415
S_ruber_randomG_0001_83_10	D5HC76_SALRM	tRNA-specific 2-thiouridylase MnmA	K00566	* tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	K00566	MNMA_SALRD	tRNA-specific 2-thiouridylase MnmA	K00566
S_ruber_randomG_0001_83_11	D5HC77_SALRM	Putative translation initiation inhibitor containig endoribonuclease L-PSP	No_Match	* 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	K09022	DFRA_MYXXA	Protein DfrA;	No_Match
S_ruber_randomG_0001_83_12	Q2RZN7_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_83_13	Q2RZN6_SALRD	N-acetylmuramoyl-L-alanine amidase-like protein	K01448	* N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	K01448	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_83_14	Q2RZN5_SALRD	Uncharacterized protein	No_Match	ATPase inhibitor, mitochondrial	K22255	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_84_2	D5HAC3_SALRM	1-deoxy-D-xylulose 5-phosphate reductoisomerase	K00099	* 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	K00099	DXR_CHLT3	1-deoxy-D-xylulose 5-phosphate reductoisomerase	K00099
S_ruber_randomG_0001_84_4	D5HAC1_SALRM	Isoprenyl transferase	K00806	* undecaprenyl diphosphate synthase [EC:2.5.1.31]	K00806	ISPT_CHLTE	Isoprenyl transferase	K00806
S_ruber_randomG_0001_84_8	D5HAB7_SALRM	3-methyl-2-oxobutanoate hydroxymethyltransferase	K00606	* 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	K00606	PANB_SALRD	3-methyl-2-oxobutanoate hydroxymethyltransferase	K00606
S_ruber_randomG_0001_84_9	D5HAB6_SALRM	5'-nucleotidase SurE	K03787	* 5'-nucleotidase [EC:3.1.3.5]	K03787	SURE_SALRD	5'-nucleotidase SurE	K03787
S_ruber_randomG_0001_84_10	D5HAB5_SALRM	Uncharacterized protein	No_Match	putative tabtoxin peptidase [EC:3.4.-.-]	K19111	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_84_11	D5HAB4_SALRM	Transporter, small conductance mechanosensitive ion channel (MscS) family	No_Match	* small conductance mechanosensitive channel	K03442	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_84_12	D5HAB3_SALRM	Bifunctional protein FolD	K01491	* methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	K01491	FOLD_SALRD	Bifunctional protein FolD	K01491
S_ruber_randomG_0001_84_16	D5HAB0_SALRM	Phosphoenolpyruvate carboxykinase (ATP)	K01610	* phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	K01610	PCKA1_SALRD	Phosphoenolpyruvate carboxykinase (ATP) 1	K01610
S_ruber_randomG_0001_85_2	D5HAX3_SALRM	Molybdopterin biosynthesis protein moeB	K21147	* sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]	K21147	MOEZ_MYCTU	Probable adenylyltransferase/sulfurtransferase MoeZ;	K21147
S_ruber_randomG_0001_85_4	D5HAX1_SALRM	Mov34/MPN/PAD-1 family	No_Match	desampylase [EC:3.4.19.15]	K20110	JAMM1_HALVD	Desampylase;	K20110
S_ruber_randomG_0001_85_6	D5HAW8_SALRM	Deoxyribodipyrimidine photolyase-related protein	K06876	* deoxyribodipyrimidine photolyase-related protein	K06876	PHRB_AGRFC	(6-4) photolyase	K06876
S_ruber_randomG_0001_85_7	D5HAW7_SALRM	3-oxoacyl-[acyl-carrier-protein] reductase	No_Match	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	K00059	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_85_9	D5HAW5_SALRM	Putative peptidase	No_Match	* acylaminoacyl-peptidase [EC:3.4.19.1]	K01303	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_85_12	No_Match	Hypothetical Gene	No_Match	TELO2-interacting protein 1	K20403	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_85_14	No_Match	Hypothetical Gene	No_Match	PHD and RING finger domain-containing protein 1	K17586	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_85_17	A0A2T2S8Q9_9BACT	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_86_2	Q2S614_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_86_8	Q2S607_SALRD	Putative colanic acid biosynthesis glycosyl transferase	No_Match	colanic acid biosynthesis glycosyl transferase WcaI	K03208	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_86_9	Q2S606_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_86_13	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_87_3	D5HAN3_SALRM	Uncharacterized protein	No_Match	outer membrane lipase/esterase	K12686	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_87_4	D5HAN2_SALRM	Long-chain fatty acid transport protein [Precursor]	K06076	* long-chain fatty acid transport protein	K06076	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_87_5	D5HAN1_SALRM	Uncharacterized protein	K09166	* uncharacterized protein	K09166	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_87_6	D5HAN0_SALRM	RNA polymerase sigma-70 factor	K03086	RNA polymerase primary sigma factor	K03086	SIGA_BACHD	RNA polymerase sigma factor SigA	K03086
S_ruber_randomG_0001_87_7	D5HAM9_SALRM	GH3 auxin-responsive promoter superfamily	No_Match	auxin responsive GH3 gene family	K14487	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_87_8	D5HAM8_SALRM	Dihydropteroate synthase	K00796	* dihydropteroate synthase [EC:2.5.1.15]	K00796	DHPS_SHIFL	Dihydropteroate synthase;	K00796
S_ruber_randomG_0001_87_9	D5HAM7_SALRM	Diadenylate cyclase	No_Match	* diadenylate cyclase [EC:2.7.7.85]	K18672	DACA_LISMO	Diadenylate cyclase	K18672
S_ruber_randomG_0001_87_10	D5HAM6_SALRM	Protein-L-isoaspartate O-methyltransferase	K00573	* protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	K00573	PIMT_SALRD	Protein-L-isoaspartate O-methyltransferase	K00573
S_ruber_randomG_0001_87_11	Q2S177_SALRD	Uncharacterized protein	No_Match	averantin hydroxylase [EC:1.14.14.116]	K17645	No_Match	Hypothetical Gene	No_Match
